,African,European,India,Malay,SouthChineseDai,SouthwestChineseYi,EastChinese,Japanese,NorthChineseOroqen,Yakut,American,
Dai,0.001,0.001,0.001,3.915,83.397,6.131,0.752,5.8,0.001,0.001,0.001,
Dai,0.001,0.001,0.234,12.248,63.89,3.784,14.07,3.4,0.479,1.891,0.001,
Dai,0.001,0.001,0.001,2.935,84.984,6.807,2.719,2.549,0.001,0.001,0.001,
Dai,0.001,0.001,0.001,0.001,91.091,8.9,0.001,0.001,0.001,0.001,0.001,
Dai,0.001,0.001,0.935,0.107,87.785,9.812,0.001,1.356,0.001,0.001,0.001,
Dai,0.134,0.001,0.001,11.342,68.096,1.83,16.122,1.554,0.001,0.857,0.062,
Dai,0.001,0.001,0.001,4.817,82.904,0.001,7.591,0.001,4.681,0.001,0.001,
Dai,0.092,0.001,0.001,12.158,61.676,5.554,18.363,0.001,1.656,0.159,0.34,
Dai,0.001,0.001,0.001,5.427,83.87,1.569,3.31,3.073,0.001,2.746,0.001,
Dai,0.001,0.001,0.285,8.236,70.203,2.881,16.504,0.903,0.399,0.585,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,
Daur-Hezhen-Oroqen,0.001,1.835,1.564,1.156,1.195,8,11.507,13.008,53.133,8.6,0.001,
Daur-Hezhen-Oroqen,0.001,1.091,0.001,1.657,0.001,12.347,7.583,5.78,66.663,4.876,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,3.829,0.001,0.001,9.178,0.001,86.985,0.001,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.227,0.001,6.065,7.493,0.001,86.208,0.001,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.773,0.001,1.779,11.447,85.994,0.001,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,2.779,0.001,8.943,0.001,88.269,0.001,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.001,7.718,2.671,1.726,87.878,0.001,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.001,0.001,1.712,16.279,82.001,0.001,0.001,
Han,0.001,0.001,0.001,1.277,44.523,3.99,42.172,2.031,6.002,0.001,0.001,
Han,0.001,0.001,0.001,1.865,7.219,18.035,63.755,5.911,3.173,0.039,0.001,
Han,0.001,0.001,0.001,2.087,52.167,1.147,41.003,0.572,0.001,2.916,0.104,
Han,0.001,0.147,1.48,0.001,0.001,28.581,57.23,0.001,9.931,1.106,1.522,
Han,0.001,0.001,0.001,2.572,33.387,5.284,47.618,2.406,5.453,2.895,0.381,
Han,0.001,0.001,0.001,0.001,11.889,12.557,61.547,8.412,3.321,1.874,0.397,
